x_var,y_var,point,diff_x,diff_y,distance,theta,diff_theta,cumulative_distance,r,cumulative_distance_10_actual,cumulative_distance_10_dummy,height,diff_height,_merge,grade
11.795107,5.9276943,1,0,0,0,,0,0,50000,0,0,.091304347,0,Matched (3),0
11.835295,5.9076004,2,.040187836,-.020093918,.046142969,2.0344439,0,.046142969,50000,.46142969,0,.091304347,0,Matched (3),0
11.895576,5.8674126,3,.060281754,-.040187836,.074403301,2.1587989,.12435508,.12054627,.59831333,1.2054627,1,.10434783,.013043486,Matched (3),.17530788
11.955858,5.8272247,4,.060281754,-.040187836,.074403301,2.1587989,0,.19494957,50000,1.9494957,1,.10434783,.013043486,Matched (3),.17530788
12.016139,5.8071308,5,.0602808,-.020093918,.065255083,1.8925517,-.26624727,.26020464,.24509202,2.6020465,2,.091304347,-.013043486,Matched (3),-.19988459
12.076421,5.766943,6,.060281754,-.040187836,.074403301,2.1587989,.26624727,.33460796,.27945188,3.3460796,3,.1173913,.026086956,Matched (3),.35061559
12.136703,5.7267556,7,.060281754,-.040187359,.074403025,2.1587934,-5.4836273e-06,.40901098,13568.213,4.0901098,4,.14347826,.026086956,Matched (3),.35061687
12.17689,5.6865678,8,.040187836,-.040187836,.058366749,2.3561945,.19740105,.46737772,.29567599,4.6737771,4,.14347826,.026086956,Matched (3),.44694895
12.196984,5.626286,9,.020093918,-.060281754,.065256007,2.8198421,.4636476,.53263372,.14074484,5.3263373,5,.13043478,-.013043478,Matched (3),-.19988164
12.237172,5.5860982,10,.040187836,-.040187836,.058366749,2.3561945,-.4636476,.5910005,.12588601,5.9100051,5,.13043478,-.013043478,Matched (3),-.22347447
12.297454,5.5459104,11,.060281754,-.040187836,.074403301,2.1587989,-.19739556,.66540378,.3769249,6.654038,6,.1173913,-.013043478,Matched (3),-.1753078
12.357736,5.5057225,12,.060281754,-.040187836,.074403301,2.1587989,0,.73980707,50000,7.3980708,7,.1173913,0,Matched (3),0
