x_var,y_var,point,diff_x,diff_y,distance,theta,diff_theta,cumulative_distance,r,cumulative_distance_10_actual,cumulative_distance_10_dummy,height,cumulative_distance_2,cumulative_distance_3,cumulative_distance_4,cumulative_distance_5,cumulative_distance_6,cumulative_distance_7,cumulative_distance_8,cumulative_distance_9,cumulative_distance_10,cumulative_distance_11,cumulative_distance_12,cumulative_distance_13,cumulative_distance_14,cumulative_distance_15,cumulative_distance_16,cumulative_distance_17,cumulative_distance_18,cumulative_distance_19,cumulative_distance_20,cumulative_distance_21,cumulative_distance_22,cumulative_distance_23,height_hat,diff_height,_merge,grade
3666.6667,2680,1,0,0,0,,0,0,50000,0,0,.58648646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.56132489,0,Matched (3),0
3680,2666.6667,2,13.333252,-13.333252,.019454546,2.3561945,0,.019454546,50000,.19454546,0,.58648646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.56132489,0,Matched (3),0
3693.3333,2653.3333,3,13.333252,-13.333496,.019454725,2.3562036,9.0599060e-06,.038909271,2147.343,.38909271,0,.58648646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.56132489,0,Matched (3),0
3706.6667,2640,4,13.333496,-13.333252,.019454725,2.3561854,-.000018119812,.058363996,1073.6715,.58363998,0,.58648646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.56132489,0,Matched (3),0
3720,2626.6667,5,13.333252,-13.333252,.019454546,2.3561945,9.0599060e-06,.077818543,2147.3232,.77818543,0,.58648646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.56132489,0,Matched (3),0
3733.3333,2613.3333,6,13.333252,-13.333496,.019454725,2.3562036,9.0599060e-06,.097273268,2147.343,.97273266,0,.58648646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.56132489,0,Matched (3),0
3746.6667,2600,7,13.333496,-13.333252,.019454725,2.3561854,-.000018119812,.11672799,1073.6715,1.16728,1,.58648646,.010816,.0011248641,.00011698587,.000012166531,1.2653192e-06,1.3159320e-07,1.3685693e-08,1.4233120e-09,1.4802445e-10,1.5394543e-11,1.6010326e-12,1.6650739e-13,1.7316769e-14,1.8009441e-15,1.8729819e-16,1.9479012e-17,2.0258172e-18,2.1068500e-19,2.1911241e-20,2.2787691e-21,2.3699199e-22,2.4647167e-23,.56873178,0,Matched (3),0
3760,2586.6667,8,13.333252,-13.333252,.019454546,2.3561945,9.0599060e-06,.13618255,2147.3232,1.3618255,1,.58648646,.010816,.0011248641,.00011698587,.000012166531,1.2653192e-06,1.3159320e-07,1.3685693e-08,1.4233120e-09,1.4802445e-10,1.5394543e-11,1.6010326e-12,1.6650739e-13,1.7316769e-14,1.8009441e-15,1.8729819e-16,1.9479012e-17,2.0258172e-18,2.1068500e-19,2.1911241e-20,2.2787691e-21,2.3699199e-22,2.4647167e-23,.56873178,0,Matched (3),0
3773.3333,2573.3333,9,13.333252,-13.333496,.019454725,2.3562036,9.0599060e-06,.15563726,2147.343,1.5563726,1,.58648646,.010816,.0011248641,.00011698587,.000012166531,1.2653192e-06,1.3159320e-07,1.3685693e-08,1.4233120e-09,1.4802445e-10,1.5394543e-11,1.6010326e-12,1.6650739e-13,1.7316769e-14,1.8009441e-15,1.8729819e-16,1.9479012e-17,2.0258172e-18,2.1068500e-19,2.1911241e-20,2.2787691e-21,2.3699199e-22,2.4647167e-23,.56873178,0,Matched (3),0
3800,2560,10,26.666748,-13.333252,.030760564,2.0344403,-.32176328,.18639782,.095599987,1.8639781,1,.58648646,.010816,.0011248641,.00011698587,.000012166531,1.2653192e-06,1.3159320e-07,1.3685693e-08,1.4233120e-09,1.4802445e-10,1.5394543e-11,1.6010326e-12,1.6650739e-13,1.7316769e-14,1.8009441e-15,1.8729819e-16,1.9479012e-17,2.0258172e-18,2.1068500e-19,2.1911241e-20,2.2787691e-21,2.3699199e-22,2.4647167e-23,.56873178,0,Matched (3),0
3813.3333,2546.6667,11,13.333252,-13.333252,.019454546,2.3561945,.32175422,.20585237,.060463998,2.0585237,2,.58108109,.043264002,.0089989128,.0018717739,.00038932898,.000080980426,.000016843929,3.5035373e-06,7.2873576e-07,1.5157704e-07,3.1528025e-08,6.5578294e-09,1.3640286e-09,2.8371794e-10,5.9013336e-11,1.2274774e-11,2.5531530e-12,5.3105583e-13,1.1045962e-13,2.2975601e-14,4.7789252e-15,9.9401646e-16,2.0675542e-16,.57453477,-.0054053664,Matched (3),-.27784592
3826.6667,2533.3333,12,13.333496,-13.333496,.019454902,2.3561945,0,.22530727,50000,2.2530727,2,.58108109,.043264002,.0089989128,.0018717739,.00038932898,.000080980426,.000016843929,3.5035373e-06,7.2873576e-07,1.5157704e-07,3.1528025e-08,6.5578294e-09,1.3640286e-09,2.8371794e-10,5.9013336e-11,1.2274774e-11,2.5531530e-12,5.3105583e-13,1.1045962e-13,2.2975601e-14,4.7789252e-15,9.9401646e-16,2.0675542e-16,.57453477,-.0054053664,Matched (3),-.27784085
3853.3333,2520,13,26.666504,-13.333252,.030760339,2.0344439,-.32175064,.2560676,.095603034,2.5606761,2,.58108109,.043264002,.0089989128,.0018717739,.00038932898,.000080980426,.000016843929,3.5035373e-06,7.2873576e-07,1.5157704e-07,3.1528025e-08,6.5578294e-09,1.3640286e-09,2.8371794e-10,5.9013336e-11,1.2274774e-11,2.5531530e-12,5.3105583e-13,1.1045962e-13,2.2975601e-14,4.7789252e-15,9.9401646e-16,2.0675542e-16,.57453477,-.0054053664,Matched (3),-.17572519
