x_var,y_var,point,diff_x,diff_y,distance,theta,diff_theta,cumulative_distance,r,cumulative_distance_10_actual,cumulative_distance_10_dummy,height,diff_height,_merge,grade
3666.6667,2680,1,0,0,0,,0,0,50000,0,0,.58648646,0,Matched (3),0
3680,2666.6667,2,13.333252,-13.333252,.019460604,2.3561945,0,.019460604,50000,.19460604,0,.58648646,0,Matched (3),0
3693.3333,2653.3333,3,13.333252,-13.333496,.019460782,2.3562036,9.0599060e-06,.038921386,2148.0115,.38921386,0,.58648646,0,Matched (3),0
3706.6667,2640,4,13.333496,-13.333252,.019460782,2.3561854,-.000018119812,.058382168,1074.0057,.58382165,0,.58648646,0,Matched (3),0
3720,2626.6667,5,13.333252,-13.333252,.019460604,2.3561945,9.0599060e-06,.077842772,2147.9917,.77842772,0,.58648646,0,Matched (3),0
3733.3333,2613.3333,6,13.333252,-13.333496,.019460782,2.3562036,9.0599060e-06,.097303554,2148.0115,.97303557,0,.58648646,0,Matched (3),0
3746.6667,2600,7,13.333496,-13.333252,.019460782,2.3561854,-.000018119812,.11676434,1074.0057,1.1676433,1,.58648646,0,Matched (3),0
3760,2586.6667,8,13.333252,-13.333252,.019460604,2.3561945,9.0599060e-06,.13622494,2147.9917,1.3622494,1,.58648646,0,Matched (3),0
3773.3333,2573.3333,9,13.333252,-13.333496,.019460782,2.3562036,9.0599060e-06,.15568572,2148.0115,1.5568572,1,.58648646,0,Matched (3),0
3800,2560,10,26.666748,-13.333252,.03077014,2.0344403,-.32176328,.18645586,.095629744,1.8645586,1,.58648646,0,Matched (3),0
3813.3333,2546.6667,11,13.333252,-13.333252,.019460604,2.3561945,.32175422,.20591646,.060482822,2.0591645,2,.58108109,-.0054053664,Matched (3),-.27775943
3826.6667,2533.3333,12,13.333496,-13.333496,.019460959,2.3561945,0,.22537743,50000,2.2537742,2,.58108109,-.0054053664,Matched (3),-.27775437
3853.3333,2520,13,26.666504,-13.333252,.030769916,2.0344439,-.32175064,.25614735,.095632806,2.5614736,2,.58108109,-.0054053664,Matched (3),-.17567049
3866.6667,2506.6667,14,13.333496,-13.333252,.019460782,2.3561854,.32174158,.27560812,.060485754,2.7560811,2,.58108109,-.0054053664,Matched (3),-.2777569
3880,2493.3333,15,13.333252,-13.333496,.019460782,2.3562036,.000018119812,.29506892,1074.0057,2.9506893,2,.58108109,-.0054053664,Matched (3),-.2777569
3893.3333,2480,16,13.333252,-13.333252,.019460604,2.3561945,-9.0599060e-06,.31452951,2147.9917,3.1452951,3,.57567567,-.005405426,Matched (3),-.2777625
3906.6667,2466.6667,17,13.333496,-13.333252,.019460782,2.3561854,-9.0599060e-06,.33399031,2148.0115,3.3399031,3,.57567567,-.005405426,Matched (3),-.27775994
3933.3333,2453.3333,18,26.666504,-13.333496,.030770028,2.0344512,-.32173419,.36476031,.095638044,3.647603,3,.57567567,-.005405426,Matched (3),-.1756718
3946.6667,2440,19,13.333496,-13.333252,.019460782,2.3561854,.32173419,.38422111,.060487144,3.842211,3,.57567567,-.005405426,Matched (3),-.27775994
3973.3333,2426.6667,20,26.666504,-13.333252,.030769916,2.0344439,-.32174158,.41499102,.095635496,4.14991,4,.57567567,0,Matched (3),0
3986.6667,2413.3333,21,13.333496,-13.333496,.019460959,2.3561945,.32175064,.43445197,.060484603,4.3445196,4,.57567567,0,Matched (3),0
4000,2400,22,13.333252,-13.333252,.019460604,2.3561945,0,.45391259,50000,4.5391259,4,.57567567,0,Matched (3),0
4013.3333,2386.6667,23,13.333252,-13.333252,.019460604,2.3561945,0,.47337317,50000,4.7337317,4,.57567567,0,Matched (3),0
4026.6667,2373.3333,24,13.333496,-13.333496,.019460959,2.3561945,0,.49283415,50000,4.9283414,4,.57567567,0,Matched (3),0
4053.3333,2360,25,26.666504,-13.333252,.030769916,2.0344439,-.32175064,.52360404,.095632806,5.2360401,5,.57567567,0,Matched (3),0
4080,2346.6667,26,26.666748,-13.333252,.03077014,2.0344403,-3.5762787e-06,.55437422,8603.9551,5.5437422,5,.57567567,0,Matched (3),0
4093.3333,2333.3333,27,13.333252,-13.333496,.019460782,2.3562036,.32176328,.57383496,.060481675,5.7383494,5,.57567567,0,Matched (3),0
4120,2320,28,26.666748,-13.333252,.03077014,2.0344403,-.32176328,.60460514,.095629744,6.0460515,6,.57567567,0,Matched (3),0
4133.3335,2306.6667,29,13.333496,-13.333252,.019460782,2.3561854,.32174516,.62406588,.060485084,6.2406588,6,.57567567,0,Matched (3),0
4146.6665,2293.3333,30,13.333008,-13.333496,.019460604,2.3562129,.000027418137,.64352649,709.77118,6.4352651,6,.57567567,0,Matched (3),0
4160,2280,31,13.333496,-13.333252,.019460782,2.3561854,-.000027418137,.66298729,709.77771,6.6298728,6,.57567567,0,Matched (3),0
4186.6665,2266.6667,32,26.666504,-13.333252,.030769916,2.0344439,-.32174158,.69375724,.095635496,6.9375725,6,.57567567,0,Matched (3),0
4213.3335,2253.3333,33,26.666992,-13.333496,.030770479,2.0344439,0,.72452772,50000,7.2452774,7,.57567567,0,Matched (3),0
4240,2240,34,26.666504,-13.333252,.030769916,2.0344439,0,.7552976,50000,7.5529761,7,.57567567,0,Matched (3),0
4266.6665,2240,35,26.666504,0,.027521448,1.5707964,-.46364748,.78281903,.059358563,7.8281903,7,.57567567,0,Matched (3),0
4280,2213.3333,36,13.333496,-26.666748,.030770252,2.6779413,1.107145,.81358927,.027792433,8.1358929,8,.5702703,-.0054053664,Matched (3),-.17566858
4280,2186.6667,37,0,-26.666504,.027521448,3.1415927,.46365142,.84111077,.05935806,8.411108,8,.5702703,-.0054053664,Matched (3),-.19640559
4280,2160,38,0,-26.666748,.0275217,3.1415927,0,.86863244,50000,8.6863241,8,.5702703,-.0054053664,Matched (3),-.1964038
4293.3335,2133.3333,39,13.333496,-26.666748,.030770252,2.6779413,-.46365142,.89940268,.066365056,8.9940271,8,.5702703,-.0054053664,Matched (3),-.17566858
4320,2133.3333,40,26.666504,0,.027521448,1.5707964,-1.107145,.92692417,.024858035,9.2692413,9,.56486487,-.005405426,Matched (3),-.19640777
4333.3335,2160,41,13.333496,26.666748,.030770252,.46365127,-1.1071451,.95769441,.02779243,9.5769444,9,.56486487,-.005405426,Matched (3),-.17567052
4346.6665,2186.6667,42,13.333008,26.666748,.030770028,.46363664,-.00001463294,.98846442,2102.792,9.8846445,9,.56486487,-.005405426,Matched (3),-.1756718
4346.6665,2200,43,0,13.333252,.013760724,0,-.46363664,1.0022252,.029679976,10.022251,10,.55945945,-.005405426,Matched (3),-.39281553
4346.6665,2226.6667,44,0,26.666748,.0275217,0,0,1.0297469,50000,10.297469,10,.55945945,-.005405426,Matched (3),-.19640596
4346.6665,2253.3333,45,0,26.666504,.027521448,0,0,1.0572683,50000,10.572682,10,.55945945,-.005405426,Matched (3),-.19640777
4346.6665,2280,46,0,26.666748,.0275217,0,0,1.08479,50000,10.8479,10,.55945945,-.005405426,Matched (3),-.19640596
4346.6665,2306.6667,47,0,26.666748,.0275217,0,0,1.1123117,50000,11.123117,11,.55945945,0,Master only (1),0
4346.6665,2333.3333,48,0,26.666504,.027521448,0,0,1.1398331,50000,11.398331,11,.55945945,0,Master only (1),0
4333.3335,2360,49,-13.333008,26.666748,.030770028,-.46363664,-.46363664,1.1706032,.066366687,11.706032,11,.55945945,0,Master only (1),0
4320,2386.6667,50,-13.333496,26.666748,.030770252,-.46365127,-.00001463294,1.2013735,2102.8071,12.013735,12,.55405408,-.0054053664,Matched (3),-.17566858
4306.6665,2400,51,-13.333496,13.333252,.019460782,-.7854073,-.32175604,1.2208343,.060483038,12.208343,12,.55405408,-.0054053664,Matched (3),-.2777569
4280,2426.6667,52,-26.666504,26.666748,.038921382,-.7853936,.000013709068,1.2597556,2839.0977,12.597556,12,.55405408,-.0054053664,Matched (3),-.13887909
4266.6665,2440,53,-13.333496,13.333252,.019460782,-.7854073,-.000013709068,1.2792164,1419.5554,12.792164,12,.55405408,-.0054053664,Matched (3),-.2777569
4253.3335,2453.3333,54,-13.333008,13.333252,.019460423,-.78538901,.000018298626,1.2986768,1063.491,12.986769,12,.55405408,-.0054053664,Matched (3),-.27776203
4240,2466.6667,55,-13.333496,13.333496,.019460959,-.78539819,-9.1791153e-06,1.3181378,2120.1345,13.181377,13,.55405408,0,Master only (1),0
4226.6665,2480,56,-13.333496,13.333252,.019460782,-.7854073,-9.1195107e-06,1.3375986,2133.9722,13.375986,13,.55405408,0,Master only (1),0
4213.3335,2493.3333,57,-13.333008,13.333252,.019460423,-.78538901,.000018298626,1.357059,1063.491,13.57059,13,.55405408,0,Master only (1),0
4200,2506.6667,58,-13.333496,13.333496,.019460959,-.78539819,-9.1791153e-06,1.3765199,2120.1345,13.7652,13,.55405408,0,Master only (1),0
4186.6665,2520,59,-13.333496,13.333252,.019460782,-.7854073,-9.1195107e-06,1.3959807,2133.9722,13.959807,13,.55405408,0,Master only (1),0
4173.3335,2533.3333,60,-13.333008,13.333252,.019460423,-.78538901,.000018298626,1.4154412,1063.491,14.154411,14,.55405408,0,Matched (3),0
4160,2546.6667,61,-13.333496,13.333496,.019460959,-.78539819,-9.1791153e-06,1.4349021,2120.1345,14.349021,14,.55405408,0,Matched (3),0
